Дегтярск;Свердловская область;Уральский;15521
Дедовск;Московская область;Центральный;29280
Демидов;Смоленская область;Центральный;7333
Дербент;Дагестан;Северо-Кавказский;119961
Десногорск;Смоленская область;Центральный;29677
Дзержинск;Нижегородская область;Приволжский;240762
Дзержинский;Московская область;Центральный;47125
Дивногорск;Красноярский край;Сибирский;28271
Дигора;Северная Осетия - Алания;Северо-Кавказский;10856
Димитровград;Ульяновская область;Приволжский;122549
Дмитриев;Курская область;Центральный;7721
Дмитров;Московская область;Центральный;61454
Дмитровск;Орловская область;Центральный;5956
Дно;Псковская область;Северо-Западный;9061
Добрянка;Пермский край;Приволжский;35720
Долгопрудный;Московская область;Центральный;90976
Долинск;Сахалинская область;Дальневосточный;12200
Домодедово;Московская область;Центральный;96123
Донецк;Ростовская область;Южный;50085
Донской;Тульская область;Центральный;64561
Дорогобуж;Смоленская область;Центральный;10720
Дрезна;Московская область;Центральный;11815
Дубна;Московская область;Центральный;70569
Дубовка;Волгоградская область;Южный;14345
Дудинка;Красноярский край;Сибирский;22207
Духовщина;Смоленская область;Центральный;4370
Дюртюли;Башкортостан;Приволжский;31272
Дятьково;Брянская область;Центральный;29438
Евпатория;Крым;Южный;105719
Егорьевск;Московская область;Центральный;70133
Ейск;Краснодарский край;Южный;87771
Екатеринбург;Свердловская область;Уральский;1377738
Елабуга;Татарстан;Приволжский;70750
Елец;Липецкая область;Центральный;108404
Елизово;Камчатский край;Дальневосточный;39548
Ельня;Смоленская область;Центральный;10095
Еманжелинск;Челябинская область;Уральский;30218
Емва;Коми;Северо-Западный;14574
Енисейск;Красноярский край;Сибирский;18769
Ермолино;Калужская область;Центральный;10409
Ершов;Саратовская область;Приволжский;21447
Ессентуки;Ставропольский край;Северо-Кавказский;100969
Ефремов;Тульская область;Центральный;42350
Железноводск;Ставропольский край;Северо-Кавказский;24496
Железногорск;Красноярский край;Сибирский;85559
Железногорск;Курская область;Центральный;95057
Железногорск-Илимский;Иркутская область;Сибирский;26134
Жердевка;Тамбовская область;Центральный;15211
Жигулёвск;Самарская область;Приволжский;57565
Жиздра;Калужская область;Центральный;5585
Жирновск;Волгоградская область;Южный;16890
Жуков;Калужская область;Центральный;12150
Жуковка;Брянская область;Центральный;18269
Жуковский;Московская область;Центральный;102729
Завитинск;Амурская область;Дальневосточный;11481
Заводоуковск;Тюменская область;Уральский;25657
Заволжск;Ивановская область;Центральный;12045
Заволжье;Нижегородская область;Приволжский;40265
Задонск;Липецкая область;Центральный;9695
Заинск;Татарстан;Приволжский;41798
Закаменск;Бурятия;Сибирский;11249
Заозёрный;Красноярский край;Сибирский;10683
Заозёрск;Мурманская область;Северо-Западный;11206
Западная Двина;Тверская область;Центральный;9376
Заполярный;Мурманская область;Северо-Западный;15835
Зарайск;Московская область;Центральный;24648
Заречный;Пензенская область;Приволжский;63579
Заречный;Свердловская область;Уральский;26803
Заринск;Алтайский край;Сибирский;47035
Звенигово;Марий Эл;Приволжский;11945
Звенигород;Московская область;Центральный;16395
Зверево;Ростовская область;Южный;22416
Зеленогорск;Красноярский край;Сибирский;66018
Зеленоградск;Калининградская область;Северо-Западный;13015
Зеленодольск;Татарстан;Приволжский;97651
Зеленокумск;Ставропольский край;Северо-Кавказский;35790
Зерноград;Ростовская область;Южный;26850
Зея;Амурская область;Дальневосточный;25042
Зима;Иркутская область;Сибирский;32522
Златоуст;Челябинская область;Уральский;174985
Злынка;Брянская область;Центральный;5507
Змеиногорск;Алтайский край;Сибирский;10569
Знаменск;Астраханская область;Южный;29357
Зубцов;Тверская область;Центральный;6937
Зуевка;Кировская область;Приволжский;11198
Ивангород;Ленинградская область;Северо-Западный;9797
Иваново;Ивановская область;Центральный;409277
Ивантеевка;Московская область;Центральный;58594
Ивдель;Свердловская область;Уральский;17764
Игарка;Красноярский край;Сибирский;6183
Ижевск;Удмуртия;Приволжский;628117
Избербаш;Дагестан;Северо-Кавказский;56301
Изобильный;Ставропольский край;Северо-Кавказский;40546
Иланский;Красноярский край;Сибирский;16108
Инза;Ульяновская область;Приволжский;18547
Иннополис;Татарстан;Приволжский;405
Инсар;Мордовия;Приволжский;8687
Инта;Коми;Северо-Западный;32021
Ипатово;Ставропольский край;Северо-Кавказский;26055
Ирбит;Свердловская область;Уральский;38352
Иркутск;Иркутская область;Сибирский;587225
Исилькуль;Омская область;Сибирский;25905
Искитим;Новосибирская область;Сибирский;60072
Истра;Московская область;Центральный;35106
Ишим;Тюменская область;Уральский;69567
Ишимбай;Башкортостан;Приволжский;66259
Йошкар-Ола;Марий Эл;Приволжский;248688
Кадников;Вологодская область;Северо-Западный;4797
Казань;Татарстан;Приволжский;1216965
Калач;Воронежская область;Центральный;20046
Калач-на-Дону;Волгоградская область;Южный;26892
Калачинск;Омская область;Сибирский;24000
Калининград;Калининградская область;Северо-Западный;431491
Калининск;Саратовская область;Приволжский;16442
Калтан;Кемеровская область;Сибирский;21893
Калуга;Калужская область;Центральный;325185
Калязин;Тверская область;Центральный;13870
Камбарка;Удмуртия;Приволжский;11028
Каменка;Пензенская область;Приволжский;39579
Каменногорск;Ленинградская область;Северо-Западный;6761
Каменск-Уральский;Свердловская область;Уральский;174710
Каменск-Шахтинский;Ростовская область;Южный;95306
Камень-на-Оби;Алтайский край;Сибирский;41787
Камешково;Владимирская область;Центральный;13113
Камызяк;Астраханская область;Южный;16291
Камышин;Волгоградская область;Южный;119924
Камышлов;Свердловская область;Уральский;26875
Канаш;Чувашия;Приволжский;45608
Кандалакша;Мурманская область;Северо-Западный;35659
Канск;Красноярский край;Сибирский;94230
Карабаново;Владимирская область;Центральный;14868
Карабаш;Челябинская область;Уральский;13151
Карабулак;Ингушетия;Северо-Кавказский;31081
Карасук;Новосибирская область;Сибирский;28929
Карачаевск;Карачаево-Черкесия;Северо-Кавказский;23848
Карачев;Брянская область;Центральный;19715
Каргат;Новосибирская область;Сибирский;10620
Каргополь;Архангельская область;Северо-Западный;10148
Карпинск;Свердловская область;Уральский;29118
Карталы;Челябинская область;Уральский;29136
Касимов;Рязанская область;Центральный;33494
Касли;Челябинская область;Уральский;16998
Каспийск;Дагестан;Северо-Кавказский;103914
Катав-Ивановск;Челябинская область;Уральский;17640
Катайск;Курганская область;Уральский;14017
Качканар;Свердловская область;Уральский;42563
Кашин;Тверская область;Центральный;16174
Кашира;Московская область;Центральный;41880
Кедровый;Томская область;Сибирский;2451
Кемерово;Кемеровская область;Сибирский;532884
Кемь;Карелия;Северо-Западный;13061
Керчь;Крым;Южный;147033
Кизел;Пермский край;Приволжский;20277
Кизилюрт;Дагестан;Северо-Кавказский;36187
Кизляр;Дагестан;Северо-Кавказский;49169
Кимовск;Тульская область;Центральный;28493
Кимры;Тверская область;Центральный;49623
Кингисепп;Ленинградская область;Северо-Западный;48667
Кинель;Самарская область;Приволжский;34472
Кинешма;Ивановская область;Центральный;88113
Киреевск;Тульская область;Центральный;25585
Киренск;Иркутская область;Сибирский;12652
Киржач;Владимирская область;Центральный;30044
Кириллов;Вологодская область;Северо-Западный;7735
Кириши;Ленинградская область;Северо-Западный;52826
Киров;Калужская область;Центральный;31888
